"station","dep","layer","latitude","longitude","cbSeg92","gamOption","hydroTermSel","hydroTermSel_var","usgsGageID","aic","rmse","adjR2","periodName","seasonName","seasonMonths","periodStart","periodEnd","gamDiff_bl_mn","gamDiff_cr_mn","gamDiff_bl_mn_obs","gamDiff_cr_mn_obs","gamDiff_abs_chg","gamDiff_abs_chg_obs","gamDiff_pct_chg","gamDiff_diff_se","gamDiff_chg_pval","significance","direction","level","map_code"
"ET2.1","do","B",39.5293,-75.81135,"C&DOH_MD",2,NA,NA,NA,765.15,0.6506,0.9257,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.419688012,6.798533378,6.419688012,6.798533378,0.378845366,0.378845366,5.901304947,0.213022035,0.076153865,"poss","incr","0-50","poss_incr_0-50"
"ET2.2","do","B",39.46704,-75.87368,"BOHOH",2,NA,NA,NA,1181.99,1.1427,0.7909,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",7.33481198,7.79061622,7.33481198,7.79061622,0.45580424,0.45580424,6.21425936,0.287311117,0.113484989,"poss","incr","0-50","poss_incr_0-50"
"ET2.3","do","B",39.50873,-75.89783,"ELKOH",2,NA,NA,NA,758.51,0.6541,0.9237,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.540498114,7.01660674,6.540498114,7.01660674,0.476108626,0.476108626,7.279393987,0.218503959,0.02997638,"sig","incr","0-50","sig_incr_0-50"
"ET3.1","do","B",39.36415,-75.88203,"SASOH",2,NA,NA,NA,1340.4,1.3151,0.7587,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.713484347,6.58241926,6.713484347,6.58241926,-0.131065087,-0.131065087,-1.95226622,0.255025266,0.607592122,"NS","decr","0-50","NS"
"ET4.1","do","B",39.2437,-75.9249,"CHSTF",2,NA,NA,NA,1748.87,1.3685,0.6383,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.900333486,6.094831625,6.900333486,6.094831625,-0.805501862,-0.805501862,-11.67337584,0.432049579,0.062858532,"poss","decr","0-50","poss_decr_0-50"
"ET4.2","do","B",38.99233,-76.2151,"CHSMH",2,NA,NA,NA,2219.55,2.1641,0.6459,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",2.43848715,3.017115529,2.43848715,3.017115529,0.578628379,0.578628379,23.72899029,0.284062851,0.042175771,"sig","incr","0-50","sig_incr_0-50"
"ET5.1","do","B",38.80645,-75.90971,"CHOOH",2,NA,NA,NA,1684.37,1.1194,0.788,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.250939405,4.946960764,5.250939405,4.946960764,-0.30397864,-0.30397864,-5.789033485,0.353734653,0.39053451,"NS","decr","0-50","NS"
"ET5.2","do","B",38.5807,-76.0587,"CHOMH2",2,NA,NA,NA,1703.58,1.0724,0.8743,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",4.894538413,4.744162032,4.894538413,4.744162032,-0.150376381,-0.150376381,-3.072330175,0.285424796,0.598504846,"NS","decr","0-50","NS"
"ET6.1","do","B",38.54833,-75.70306,"NANTF_MD",2,NA,NA,NA,1234.75,1.1583,0.7345,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.008710949,6.961430446,6.008710949,6.961430446,0.952719498,0.952719498,15.85563868,0.349668003,0.006729144,"sig","incr","0-50","sig_incr_0-50"
"ET6.2","do","B",38.34133,-75.88834,"NANMH",2,NA,NA,NA,842.34,0.7273,0.8933,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.183655708,6.259630749,6.183655708,6.259630749,0.075975041,0.075975041,1.228642806,0.178103782,0.669932621,"NS","incr","0-50","NS"
"ET7.1","do","B",38.26783,-75.78793,"WICMH",2,NA,NA,NA,834.7,0.8095,0.8813,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.08936565,5.112483082,5.08936565,5.112483082,0.023117431,0.023117431,0.454230107,0.223697102,0.917752752,"NS","incr","0-50","NS"
"ET8.1","do","B",38.13794,-75.81411,"MANMH",2,NA,NA,NA,960.49,0.8603,0.8632,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.351589181,6.570540823,6.351589181,6.570540823,0.218951642,0.218951642,3.447194645,0.132316514,0.098815004,"poss","incr","0-50","poss_incr_0-50"
"ET9.1","do","B",38.055,-75.80167,"BIGMH",2,NA,NA,NA,885.37,0.7492,0.8823,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.605320738,6.851641528,6.605320738,6.851641528,0.24632079,0.24632079,3.729126861,0.196320462,0.210361417,"poss","incr","0-50","poss_incr_0-50"
"LE1.1","do","B",38.42535,-76.60176,"PAXMH",2,NA,NA,NA,2103.06,1.3753,0.8833,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",1.651900107,2.13304832,1.651900107,2.13304832,0.481148213,0.481148213,29.12695575,0.300518598,0.109890923,"poss","incr","0-50","poss_incr_0-50"
"LE1.2","do","B",38.37887,-76.51132,"PAXMH",2,NA,NA,NA,1976.99,1.2434,0.8932,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",2.516386312,2.970716169,2.516386312,2.970716169,0.454329857,0.454329857,18.05485327,0.278710443,0.103604812,"poss","incr","0-50","poss_incr_0-50"
"LE1.3","do","B",38.3398,-76.4849,"PAXMH",2,NA,NA,NA,1965.28,1.2362,0.8764,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",3.423381511,3.506185402,3.423381511,3.506185402,0.082803891,0.082803891,2.418774847,0.177429362,0.640894435,"NS","incr","0-50","NS"
"LE1.4","do","B",38.312,-76.42151,"PAXMH",2,NA,NA,NA,2134.35,1.4253,0.8381,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",3.119980492,3.007553663,3.119980492,3.007553663,-0.112426829,-0.112426829,-3.603446536,0.301117089,0.709008956,"NS","decr","0-50","NS"
"LE2.2","do","B",38.1576,-76.598,"POTMH_MD",2,NA,NA,NA,2088.02,1.447,0.8784,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",0.730383553,1.391514249,0.730383553,1.391514249,0.661130696,0.661130696,90.5182891,0.346648107,0.056989692,"poss","incr",">50","poss_incr_>50"
"LE2.3","do","B",38.0215,-76.3477,"POTMH_MD",2,NA,NA,NA,1951.23,1.4473,0.8769,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",1.27802382,1.650826136,1.27802382,1.650826136,0.372802316,0.372802316,29.17021655,0.207471936,0.072912217,"poss","incr","0-50","poss_incr_0-50"
"RET1.1","do","B",38.4909,-76.66429,"PAXMH",2,NA,NA,NA,2000.95,1.2725,0.8608,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",3.058516014,3.370436196,3.058516014,3.370436196,0.311920182,0.311920182,10.19841587,0.285986496,0.275853795,"NS","incr","0-50","NS"
"RET2.1","do","B",38.4035,-77.2691,"POTOH1_M",2,NA,NA,NA,1322.11,0.7256,0.8969,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.463042038,6.712087968,6.463042038,6.712087968,0.24904593,0.24904593,3.853385579,0.190377194,0.191326454,"poss","incr","0-50","poss_incr_0-50"
"RET2.2","do","B",38.3525,-77.2051,"POTOH1_M",2,NA,NA,NA,1696.8,0.9956,0.8379,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.418415673,5.581326885,5.418415673,5.581326885,0.162911212,0.162911212,3.006620786,0.294971671,0.580956865,"NS","incr","0-50","NS"
"RET2.4","do","B",38.3626,-76.99063,"POTMH_MD",2,NA,NA,NA,2113.06,1.4667,0.8035,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",3.418770354,3.152297114,3.418770354,3.152297114,-0.26647324,-0.26647324,-7.794417648,0.295472433,0.367507699,"NS","decr","0-50","NS"
"TF1.5","do","B",38.71012,-76.70146,"PAXTF",2,NA,NA,NA,1846.86,1.3251,0.6563,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.996274046,6.594059384,5.996274046,6.594059384,0.597785339,0.597785339,9.969279827,0.36466354,0.101741898,"poss","incr","0-50","poss_incr_0-50"
"TF1.6","do","B",38.65845,-76.68382,"PAXOH",2,NA,NA,NA,1850.45,1.1412,0.8012,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.020126384,6.00654677,5.020126384,6.00654677,0.986420386,0.986420386,19.64931379,0.363716347,0.006882956,"sig","incr","0-50","sig_incr_0-50"
"TF1.7","do","B",38.58211,-76.68101,"PAXOH",2,NA,NA,NA,1768.26,1.0776,0.834,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.034334718,5.538298234,5.034334718,5.538298234,0.503963516,0.503963516,10.01052859,0.161260442,0.00186489,"sig","incr","0-50","sig_incr_0-50"
"TF2.1","do","B",38.70664,-77.04876,"POTTF_MD",2,NA,NA,NA,1682.75,0.9987,0.8486,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.26965834,7.114334327,6.26965834,7.114334327,0.844675987,0.844675987,13.47244046,0.282956266,0.002953352,"sig","incr","0-50","sig_incr_0-50"
"TF2.2","do","B",38.69067,-77.11111,"POTTF_MD",2,NA,NA,NA,1665.96,0.9802,0.8353,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.50619696,7.310065588,6.50619696,7.310065588,0.803868628,0.803868628,12.35543026,0.258504302,0.001964091,"sig","incr","0-50","sig_incr_0-50"
"TF2.3","do","B",38.6082,-77.1739,"POTTF_MD",2,NA,NA,NA,1607.45,0.9191,0.8481,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.283471823,7.034732374,6.283471823,7.034732374,0.751260551,0.751260551,11.95613782,0.239394104,0.001784721,"sig","incr","0-50","sig_incr_0-50"
"TF2.4","do","B",38.5301,-77.2654,"POTTF_MD",2,NA,NA,NA,1493.54,0.82,0.888,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.301641901,6.765861241,6.301641901,6.765861241,0.464219339,0.464219339,7.366641053,0.21491592,0.031168328,"sig","incr","0-50","sig_incr_0-50"
"WT1.1","do","B",39.43511,-76.24205,"BSHOH",2,NA,NA,NA,1211.82,1.2166,0.745,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",7.210744626,7.383628031,7.210744626,7.383628031,0.172883404,0.172883404,2.397580463,0.339820357,0.611233588,"NS","incr","0-50","NS"
"WT2.1","do","B",39.37747,-76.33465,"GUNOH",2,NA,NA,NA,1055.7,0.9699,0.839,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",7.105137427,7.788786041,7.105137427,7.788786041,0.683648615,0.683648615,9.621891509,0.2511232,0.006787565,"sig","incr","0-50","sig_incr_0-50"
"WT3.1","do","B",39.30538,-76.40954,"MIDOH",2,NA,NA,NA,1181.97,1.1612,0.8275,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.274230462,6.831250536,6.274230462,6.831250536,0.557020074,0.557020074,8.877902671,0.289931048,0.055472541,"poss","incr","0-50","poss_incr_0-50"
"WT4.1","do","B",39.27755,-76.44368,"BACOH",2,NA,NA,NA,1678.21,2.0752,0.4713,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",8.129335802,8.199296773,8.129335802,8.199296773,0.069960971,0.069960971,0.860598855,0.529438682,0.894941179,"NS","incr","0-50","NS"
"WT5.1","do","B",39.21309,-76.52254,"PATMH",2,NA,NA,NA,1840.59,1.2143,0.8713,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",0.374016751,0.14180738,0.374016751,0.14180738,-0.23220937,-0.23220937,-62.08528631,0.376027634,0.537134872,"NS","decr",">50","NS"
"WT6.1","do","B",39.07851,-76.51005,"MAGMH",2,NA,NA,NA,1858.8,2.7056,0.5562,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",1.734095921,1.475957342,1.734095921,1.475957342,-0.258138578,-0.258138578,-14.88606111,0.128386937,0.045066894,"sig","decr","0-50","sig_decr_0-50"
"WT7.1","do","B",39.00764,-76.5035,"SEVMH",2,NA,NA,NA,1569.31,1.7847,0.7677,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",2.503790234,2.451632873,2.503790234,2.451632873,-0.052157361,-0.052157361,-2.083136205,0.33350534,0.87580587,"NS","decr","0-50","NS"
"WT8.1","do","B",38.9496,-76.5461,"SOUMH",2,NA,NA,NA,1685.75,2.0355,0.7484,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",1.514730449,1.203149316,1.514730449,1.203149316,-0.311581133,-0.311581133,-20.57007127,0.38165629,0.414773081,"NS","decr","0-50","NS"
"WT8.2","do","B",38.88696,-76.5349,"RHDMH",2,NA,NA,NA,1430.49,1.5029,0.7558,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.372603599,5.713636933,5.372603599,5.713636933,0.341033334,0.341033334,6.34763626,0.500969092,0.496442764,"NS","incr","0-50","NS"
"WT8.3","do","B",38.8425,-76.5341,"WSTMH",2,NA,NA,NA,1465.24,1.5996,0.7372,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.004065804,5.391355422,5.004065804,5.391355422,0.387289617,0.387289617,7.739498887,0.269822059,0.15200084,"poss","incr","0-50","poss_incr_0-50"
