"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","mapLayer"
"CB4.1C","Surface",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Annual",6.677527806,11.33810181,4.660574004,69.79490223,9.51e-05,"CHLA|Surface|Annual"
"CB4.1C","Surface",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",7.458567838,13.44419778,5.985629941,80.25173291,0.000825103,"CHLA|Surface|Mar-May"
"CB4.1C","Surface",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",7.609316406,13.00955179,5.400235381,70.96873217,0.000584685,"CHLA|Surface|Jul-Sep"
"CB4.2C","Surface",38.64618,-76.42126,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Annual",6.009616718,9.718211751,3.708595033,61.71100766,0.000137988,"CHLA|Surface|Annual"
"CB4.2C","Surface",38.64618,-76.42126,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",6.771492745,11.27010363,4.498610882,66.43455219,0.000946287,"CHLA|Surface|Mar-May"
"CB4.2C","Surface",38.64618,-76.42126,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",6.171241173,10.12105274,3.949811562,64.00351974,0.000307122,"CHLA|Surface|Jul-Sep"
"CB4.3C","Surface",38.55505,-76.42794,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Annual",6.026504748,8.988714435,2.962209687,49.15303,0.00109871,"CHLA|Surface|Annual"
"CB4.3C","Surface",38.55505,-76.42794,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",6.613286276,10.44891355,3.835627274,57.99880897,0.001034318,"CHLA|Surface|Mar-May"
"CB4.3C","Surface",38.55505,-76.42794,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",6.210406865,8.996454878,2.786048013,44.86095796,0.003036526,"CHLA|Surface|Jul-Sep"
"CB4.4","Surface",38.41457,-76.34565,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Annual",5.86903452,9.900493828,4.031459308,68.69033218,8.35e-05,"CHLA|Surface|Annual"
"CB4.4","Surface",38.41457,-76.34565,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",6.843199568,11.19008459,4.34688502,63.52123705,0.009221787,"CHLA|Surface|Mar-May"
"CB4.4","Surface",38.41457,-76.34565,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",6.832030309,9.746677114,2.914646806,42.66150286,0.017720167,"CHLA|Surface|Jul-Sep"
"CB5.1","Surface",38.3187,-76.29214,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Annual",5.48595335,9.004140528,3.518187178,64.13082566,0.00025628,"CHLA|Surface|Annual"
"CB5.1","Surface",38.3187,-76.29214,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",7.402433842,9.991607579,2.589173737,34.97733033,0.117914107,"CHLA|Surface|Mar-May"
